tree_id;max_buds;treatment;date;open_buds;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;74;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
105;152;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;78;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
107;115;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;81;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;59;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;77;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;120;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;114;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;151;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;98;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;149;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;196;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;51;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
118;125;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
119;82;;04.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;71;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;87;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;57;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;124;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;91;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;73;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;39;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;60;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;58;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;40;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;86;1;05.02.2021;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
